Category,Title,Description,Size1,SPrice1,Size2,SPrice2,Size3 ,SPrice3,,,,,Option1,OPrice1,Option2 ,Oprice2,Option3,Oprice3,Option4,Oprice4
XÕS ORIGINAL SUPER PIZZAS,Chicken Broccoli PIzza,"Chicken, broccoli, red onions, oregano, real bacon, mozzarella & parmesan cheese",9Ó,13.50,12Ó,18.00,16Ó,22.65,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
XÕS ORIGINAL SUPER PIZZAS,Hero Pizza,"Donair sauce, donair meat, onions, tomatoes, mozzarella cheese & more donair sauce",9Ó,13.50,12Ó,18.00,16Ó,22.65,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
XÕS ORIGINAL SUPER PIZZAS,Hot Chicken Tamalie PIzza,"Pizza sauce, hot sauce, spicy chicken, red onions, jalapenos, hot peppers, mozzarella & cheddar cheese",9Ó,13.50,12Ó,18.00,16Ó,22.65,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
XÕS ORIGINAL SUPER PIZZAS,Taco Pizza,"Salsa, taco beef, red onions, tomatoes, nacho cheps & sour cream, mozzarella & cheddar cheese",9Ó,13.50,12Ó,18.00,16Ó,22.65,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
XÕS ORIGINAL SUPER PIZZAS,PUlled Porl PIza,"BBQ sauce, puilled pork, corn, mixed bell peppers, mozzarella, bacon, cheddar, oregano and another drizzle of bbq sauce",9Ó,13.5,12Ó,18.00,16Ó,22.65,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
FAVORITES,Hawaiian PIzza,"Ham, pineapple, mozzarella cheese",9Ó,10.90,12Ó,15.75,16Ó,19.70,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
FAVORITES,Meat Lovers Pizza,"Pepperoni, salami, hamburger, bacon, ham, mozzarella cheese",9Ó,10.90,12Ó,15.75,16Ó,19.70,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
FAVORITES,Vegetarian PIzza,"Mushrooms, tomatoes, green peppers, onions, oregano, mozzarella & cheddar cheese",9Ó,10.90,12Ó,15.75,16Ó,19.70,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
FAVORITES,Works,"Salami, pepperoni, mushrooms, green pepper, bacon, mozzarella cheese",9Ó,10.90,12Ó,15.75,16Ó,19.70,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
SPECIALTY PIZZAS,BBQ Chicken PIzza,"Zesty BBQ sauce, spicy chicken (your choice of 2 vegetables, mozzarella cheese",9Ó,12.60,12Ó,16.35,16Ó,20.30,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
SPECIALTY PIZZAS,Canadian Classic PIzza,"Sweet sauce, pepperoni, mushrooms, real bacon, garlic basted crust, mozzarella cheese",9Ó,12.60,12Ó,16.35,16Ó,20.30,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
SPECIALTY PIZZAS,Donair PIzza,"Donair meat, onions, tomatoes, donair sauce, mozzarella cheese",9Ó,12.60,12Ó,16.35,16Ó,20.30,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
SPECIALTY PIZZAS,Greek Pizza,"Sliced tomatoes, black olives, green onions, oregano, mozzarela & feta cheese",9Ó,12.60,12Ó,16.35,16Ó,20.30,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
SPECIALTY PIZZAS,Mexican PIzza,"Spicy sauce, pepperoni, red onions, hamburger, tomatoes, hot peppers, mozzarella & cheddar cheese",9Ó,12.60,12Ó,16.35,16Ó,20.30,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
SPECIALTY PIZZAS,Ring Pizza,"Garlic butter on outer edge with your choice on the inside up to 5 regular items, served with donair sauce",9Ó,12.60,12Ó,16.35,16Ó,20.30,,,,,xtra sauce,"[.50,.75,1.00]",xtra cheese,"[2.25,3.00,3.25]",xtra reg. item,"[1.75,2.25,3.00]",xtra spec. item,"[2.25,3.00,3.75]"
PANZAROTTIS,Cheese,0,0,9.50,,,,,,,,,,,,,,,,
PANZAROTTIS,Spicy Chicken,0,0,10.40,,,,,,,,,,,,,,,,
PANZAROTTIS,Chicken Fajita,0,0,10.40,,,,,,,,,,,,,,,,
PANZAROTTIS,Brothers Pepperoni,0,0,10.40,,,,,,,,,,,,,,,,
PANZAROTTIS,Chicken Dinner with Fries,0,0,12.50,,,,,,,,,,,,,,,,
PANZAROTTIS,BBQ Bacon Cheeseburger,0,0,10.40,,,,,,,,,,,,,,,,
PANZAROTTIS,Donair,0,0,10.40,,,,,,,,,,,,,,,,
PANZAROTTIS,Steak,0,0,10.40,,,,,,,,,,,,,,,,
PANZAROTTIS,Pizza,0,0,10.40,,,,,,,,,,,,,,,,
PANZAROTTIS,Veggie,0,0,10.40,,,,,,,,,,,,,,,,
PANZAROTTIS,Club,0,0,10.40,,,,,,,,,,,,,,,,
ASSORTED FINGERS,Garlic Fingers,0,9Ó,7.95,12Ó,10.30,16Ó,,,,,,,,,,,,,
ASSORTED FINGERS,Cinnamon Fingers,0,9Ó,7.95,12Ó,10.30,16Ó,,,,,,,,,,,,,
ASSORTED FINGERS,Donair Garlic Fingers,0,9Ó,8.95,12Ó,11.70,16Ó,,,,,,,,,,,,,
ASSORTED FINGERS,Bacon Cheddar Garlic Fingers,0,9Ó,8.95,12Ó,11.70,16Ó,,,,,,,,,,,,,
ASSORTED FINGERS,Bacon Cheeseburger Garlic Fingers,0,9Ó,10.15,12Ó,14.85,16Ó,,,,,,,,,,,,,
ASSORTED FINGERS,Xtreme Garlic Fingers,"Mozzarella, parmesan, roasted garlic, garlic butter with donair sauce on the side",9Ó,8.95,12Ó,11.70,16Ó,,,,,,,,,,,,,
ASSORTED FINGERS,4 Cheese Garlic Fingers,0,9Ó,8.95,12Ó,11.70,16Ó,,,,,,,,,,,,,
POUTINES,Stuffed Poutine,0,Mini,5.45,Sm,7.75,Lg,9.00,,,,,,,,,,,,
POUTINES,Poutine,0,Mini,4.60,Sm,6.30,Lg,7.60,,,,,,,,,,,,
POUTINES,Greek Poutine,0,Mini,5.45,Sm,7.75,Lg,9.00,,,,,,,,,,,,
POUTINES,Donair Poutine,0,Mini,5.45,Sm,7.75,Lg,9.00,,,,,,,,,,,,
POUTINES,Chicken Poutine,0,Mini,5.45,Sm,7.75,Lg,9.00,,,,,,,,,,,,
POUTINES,Steak Poutine,0,Mini,5.45,Sm,7.75,Lg,9.00,,,,,,,,,,,,
POUTINES,Hamburger Poutine,0,Mini,5.45,Sm,7.75,Lg,9.00,,,,,,,,,,,,
POUTINES,Peperoni Poutine,0,Mini,5.45,Sm,7.75,Lg,9.00,,,,,,,,,,,,
POUTINES,Ultimate Poutine,Spicy Chicken & Stuffing,Mini,6.35,Sm,8.95,Lg,10.05,,,,,,,,,,,,
POUTINES,Hearty Poutine,Hamburger & Stuffing,Mini,6.35,Sm,8.95,Lg,10.05,,,,,,,,,,,,
POUTINES,Hero Poutine,Donair Meat & Brothers Pepperoni,Mini,6.35,Sm,8.95,Lg,10.05,,,,,,,,,,,,
POUTINES,Bacon Cheeseburger Poutine,0,Mini,6.35,Sm,8.95,Lg,10.05,,,,,,,,,,,,
DONAIRS,Xtreme Donair,0,Mini,2.95,Sm,5.60,Med,6.50,Lg,8.05,Xl,9.85,,,,,,,,
DONAIRS,Donair Plate,0,Mini,2.95,Sm,5.60,Med,6.50,Lg,8.05,Xl,9.85,,,,,,,,
DONAIRS,Xtreme Donair Plate,0,Mini,2.95,Sm,5.60,Med,6.50,Lg,8.05,Xl,9.85,,,,,,,,
CHICKEN & CHIPS,Chicken & Chips,0,1 Piece,7.50,2 Piece,8.95,3 Piece,10.50,10 Piece,26.50,,,,,,,,,,
FISH & CHIPS,Fish & Chips,0,1 Piece,6.50,2 Piece,7.95,3 Piece,9.0,10 Piece,22.95,,,,,,,,,,
PASTA,Lasagna,0,0,8.50,,,,,,,,,,,,,,,,
PASTA,Spaghetti with Meat Sauce,0,0,8.50,,,,,,,,,,,,,,,,
PASTA,Spaghetti & Meatballs,0,0,9.50,,,,,,,,,,,,,,,,
BURGERS,Tower Burger (two patties),0,0,6.95,,,,,,,,,,,,,,,,
BURGERS,Hamburger,0,0,4.05,,,,,,,,,,,,,,,,
BURGERS,Cheeseburger,0,0,4.45,,,,,,,,,,,,,,,,
BURGERS,Bacon Cheeseburger,0,0,4.75,,,,,,,,,,,,,,,,
BURGERS,Roethlisberger,"Chicken burger, lettuce, mayo, tomatoes, meat sauce, cheddar cheese",0,6.20,,,,,,,,,,,,,,,,
BURGERS,Pizza Burger,"Pepperoni, salami, green peppers, mushrooms, bacon, pizza sauce, mozzarella cheese",0,5.05,,,,,,,,,,,,,,,,
BURGERS,Onion Ring Burger,"Mayo, lettuce, tomatoes, onion rings, cheddar cheese, bacon, hot sauce",0,6.20,,,,,,,,,,,,,,,,
BURGERS,Mexi Burger,"Salsa, sour cream, onion, lettuce, cheddar cheese, jalapenoes",0,4.85,,,,,,,,,,,,,,,,
BURGERS,Donair Burger,"Tomatoes, onions, mozzarella cheese, donair sauce",0,4.65,,,,,,,,,,,,,,,,
BURGERS,Chicken Burger,"Mayo, lettuce, tomatoes",0,4.65,,,,,,,,,,,,,,,,
BURGERS,Chicken Bacon Cheddar Ranch Burger,0,0,6.20,,,,,,,,,,,,,,,,
BURGERS,Mozza Stick Burger,"Mayo, lettuce, mozza sticks, bacon, sour cream",0,6.20,,,,,,,,,,,,,,,,
BURGERS,Hawaiian Burger,"Mayo, lettuce, tomato, pineapple, cheddar cheese, BBQ sauce & bacon",0,6.20,,,,,,,,,,,,,,,,
SANDWICHES,BLT,0,0,9.65,,,,,,,,,,,,,,,,
SANDWICHES,Hot Chicken,0,0,9.65,,,,,,,,,,,,,,,,
SANDWICHES,Hot Steak,0,0,9.65,,,,,,,,,,,,,,,,
SANDWICHES,Hot Spicy Chicken,0,0,9.65,,,,,,,,,,,,,,,,
SANDWICHES,Hot Hamburger,0,0,9.65,,,,,,,,,,,,,,,,
SANDWICHES,Clubhouse,(comes with cheese),0,9.65,,,,,,,,,,,,,,,,
PITA WRAPS,Chicken Fajita,0,0,9.65,,,,,,,,,,,,,,,,
PITA WRAPS,Chicken,0,0,9.65,,,,,,,,,,,,,,,,
PITA WRAPS,Veggie,0,0,9.65,,,,,,,,,,,,,,,,
PITA WRAPS,Chicken Caesar,0,0,9.65,,,,,,,,,,,,,,,,
PITA WRAPS,Greek Salad,0,0,9.65,,,,,,,,,,,,,,,,
PITA WRAPS,Chicken Peppercorn Ranch,0,0,9.65,,,,,,,,,,,,,,,,
PITA WRAPS,Club,0,0,9.65,,,,,,,,,,,,,,,,
PITA WRAPS,Spicy Chicken,0,0,9.65,,,,,,,,,,,,,,,,
PITA WRAPS,Steak,0,0,9.65,,,,,,,,,,,,,,,,
PITA WRAPS,Cold Cut,0,0,9.65,,,,,,,,,,,,,,,,
PITA WRAPS,Or make your own...,0,0,9.65,,,,,,,,,,,,,,,,
SUBS,Cold Cut,0,Sm,7.90,Lg,9.35,,,,,,,,,,,,,,
SUBS,Chicken,0,Sm,7.90,Lg,9.35,,,,,,,,,,,,,,
SUBS,Spicy Chicken,0,Sm,7.90,Lg,9.35,,,,,,,,,,,,,,
SUBS,Donair,(comes with garlic basted bun),Sm,7.90,Lg,9.35,,,,,,,,,,,,,,
SUBS,Pizza,0,Sm,7.90,Lg,9.35,,,,,,,,,,,,,,
SUBS,Philly Steak Pizza,0,Sm,7.90,Lg,9.35,,,,,,,,,,,,,,
SUBS,Veggie,0,Sm,7.90,Lg,9.35,,,,,,,,,,,,,,
XTREME SUBS,Clubhouse,0,Sm,9.00,Lg,10.95,,,,,,,,,,,,,,
XTREME SUBS,Meatball,0,Sm,9.00,Lg,10.95,,,,,,,,,,,,,,
XTREME SUBS,Hero,0,Sm,9.00,Lg,10.95,,,,,,,,,,,,,,
XTREME SUBS,Chicken Bacon Cheddar Ranch,0,Sm,9.00,Lg,10.95,,,,,,,,,,,,,,
XTREME SUBS,BBQ Bacon Cheeseburger,0,Sm,9.00,Lg,10.95,,,,,,,,,,,,,,
XTREME SUBS,Chicken Fajita,0,Sm,9.00,Lg,10.95,,,,,,,,,,,,,,
XTREME SUBS,Anomaly,0,Sm,9.00,Lg,10.95,,,,,,,,,,,,,,
XTREME SUBS,Roethlisberger,0,Sm,9.00,Lg,10.95,,,,,,,,,,,,,,
BEVERAGES,Pop,0,Can,1.50,2 litre,,3.50,,,,,,,,,,,,,
BEVERAGES,Chocolate Milk,0,0,2.15,,,,,,,,,,,,,,,,
BEVERAGES,Gatorade,0,0,2.15,,,,,,,,,,,,,,,,
BEVERAGES,Orange Juice,0,0,1.50,,,,,,,,,,,,,,,,
BEVERAGES,Apple Juice,0,0,1.50,,,,,,,,,,,,,,,,
BEVERAGES,Bottled Water,0,0,1.50,,,,,,,,,,,,,,,,
BEVERAGES,Monster Energy Drink,0,0,3.70,,,,,,,,,,,,,,,,
XTREME DEALS,Deal #1,Student Special 2-15Ó PIzzas 1 Reg. Topping on Each,0,,,,,,,,,,,,,,,,,
XTREME DEALS,Deal #2,16Ó PIzza up to 5 REg. Toppeing/ 9Ó Garlic Fingers & 2 Litre Pop,0,,,,,,,,,,,,,,,,,
XTREME DEALS,Deal #3,16Ó Pizza up to 5 Reg. Toppeing/ 2 Regular Donairs & 2 Litre Pop,0,,,,,,,,,,,,,,,,,
XTREME DEALS,Deal #4,Two 12Ó Pizzas up to 3 Reg. Toppins on Each,0,,,,,,,,,,,,,,,,,
XTREME DEALS,Deal #5,12Ó Pizza up to 5 Reg. Toppins 12Ó Garlic Fingers,0,,,,,,,,,,,,,,,,,
XTREME DEALS,Deal #6,Any 12Ó Pizza | Any 9Ó Garlic Fingers / Any 2 Mini Poutines 4 Cans of Pop,0,,,,,,,,,,,,,,,,,
SALADS,Caesar,0,Mini,,Sm,,Lg,,,,,,,,,,,,,
SALADS,Tossed,0,Mini,,Sm,,Lg,,,,,,,,,,,,,
SALADS,Greek,0,Mini,,Sm,,Lg,,,,,,,,,,,,,
SALADS,Taco,0,Mini,,Sm,,Lg,,,,,,,,,,,,,
SALADS,Chicken Caesar,0,Mini,,Sm,,Lg,,,,,,,,,,,,,
SALADS,Chicken Tossed,0,Mini,,Sm,,Lg,,,,,,,,,,,,,
SALADS,Chicken Greek,0,Mini,,Sm,,Lg,,,,,,,,,,,,,
0,Nacho,"Onions, green onions, tomatoes, pineapple & jalapeno",,,,,,,,,,,,,,,,,,
0,Chicken Nachos,Two veggies of your choice,,,,,,,,,,,,,,,,,,
0,Donair Nachos,"Onions, tomatoes & donair meat",,,,,,,,,,,,,,,,,,
0,Bacon Cheeseburger Nachos,"Onions, tomatoes, hamburger & bacon",,,,,,,,,,,,,,,,,,
0,Chicken Fingers,0,,,,,,,,,,,,,,,,,,
0,Chicken Wings,0,,,,,,,,,,,,,,,,,,
0,Chili PIzza,0,,,,,,,,,,,,,,,,,,
0,Cinnamon Puffs,0,,,,,,,,,,,,,,,,,,
0,Garlic Puffs,0,,,,,,,,,,,,,,,,,,
0,Deep Fried Mushrooms,0,,,,,,,,,,,,,,,,,,
0,Deep Fried Pepperoni,0,,,,,,,,,,,,,,,,,,
0,Fries,0,,,,,,,,,,,,,,,,,,
0,Chicken Fries,0,,,,,,,,,,,,,,,,,,
0,Chili Fries,"Fries,chili & cheddar  cheese",,,,,,,,,,,,,,,,,,
0,Newfie Fries,"Fries, stuffing & gravy",,,,,,,,,,,,,,,,,,
0,Spicy Fries,0,,,,,,,,,,,,,,,,,,
0,Xtreme Fries,"Fries, meat sauce, green onions, green peppers, tomatoes, sour cream & cheddar cheese",,,,,,,,,,,,,,,,,,
0,Garlic Bread,0,,,,,,,,,,,,,,,,,,
0,Garlic Bread with Cheese,0,,,,,,,,,,,,,,,,,,
0,Mozza Sticks,0,,,,,,,,,,,,,,,,,,
0,Onion Rings,0,,,,,,,,,,,,,,,,,,
0,Potato Wedges,"Wedges, bacon & cheddar cheese",,,,,,,,,,,,,,,,,,
0,Xtreme Wedges,"Wedges, hamburger, stuffing, friend onions, wieners, mozzarella & gravy",,,,,,,,,,,,,,,,,,
0,Zucchini Sticks,0,,,,,,,,,,,,,,,,,,
0,Xtreme Combo Platter #1,"Mozza sticks, zucchini sticks, onion rings, sour cream & ranch",,,,,,,,,,,,,,,,,,
0,Xtreme Combo Platter #2,"Fries, deep fried pepperoni, 4 mozza sticks, sour cream & honey mustard",,,,,,,,,,,,,,,,,,
0,Xtreme Combo Platter #3,"Battered mushrooms, chicken friens, potato wedges, sour cream, sweet & sour sauce",,,,,,,,,,,,,,,,,,
0,Pork Souvlaki,0,,,,,,,,,,,,,,,,,,
0,Chicken Souvlaki,0,,,,,,,,,,,,,,,,,,
0,Jalapeno Poppers,0,,,,,,,,,,,,,,,,,,
0,Coconut Battered Shrupms,0,,,,,,,,,,,,,,,,,,
0,Donair Eggroll,0,,,,,,,,,,,,,,,,,,
0,Pizza Eggroll,0,,,,,,,,,,,,,,,,,,
0,Cranberry Sauce,0,,,,,,,,,,,,,,,,,,
0,Donair Sauce,0,,,,,,,,,,,,,,,,,,
0,Gravy,0,,,,,,,,,,,,,,,,,,
PIZZA TOPPINGS,Specialty Toppings,"Spicy chicken, chicken, donair meat, steak, sliced tomatoes, real bacon, Brothers Pepperoni, wieners, meatballs",,,0,0,0,0,0,0,0,0,0,0,0,0,,,,
PIZZA TOPPINGS,Regular Toppings,"Pepperonie, salami, bacon, cheddar cheese, hamburger, Italian sausage, ham, green peppers, tomatoes, onions, red onions, green onions, pijneapplpe, black olives, feta cheese, parmesan cheese, green olives, hot peppers, mushrooms, chicken stuffing, jalapeno peppers, roasted garlic, broccoli, corn",,,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
